"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
2002,"X610",2,0,0,2,2,0,3,1,6,0,1
2002,"X620",1,0,0,0,1,0,1,1,0,0,0
2002,"X630",1,0,0,0,0,0,0,1,0,0,0
2002,"X640",1,0,2,0,1,0,8,9,8,2,1
2002,"X640",2,0,0,3,6,0,6,8,4,0,1
2002,"X650",1,0,0,0,1,0,1,0,0,0,1
2002,"X660",1,0,0,0,0,0,0,0,0,0,1
2002,"X660",2,0,0,0,1,0,0,0,0,0,0
2002,"X670",1,0,0,1,0,0,5,3,1,0,1
2002,"X670",2,0,0,0,0,0,0,0,0,0,1
2002,"X680",1,0,0,7,15,0,29,35,23,6,4
2002,"X680",2,0,4,10,14,0,20,9,9,2,2
2002,"X690",1,0,0,2,6,0,17,10,14,1,2
2002,"X690",2,0,2,6,4,0,13,11,5,1,2
2002,"X700",1,1,22,141,252,2,449,425,464,186,162
2002,"X700",2,0,20,49,46,0,76,84,108,45,37
2002,"X700",9,0,0,0,0,0,0,1,1,0,0
2002,"X710",1,0,0,0,2,0,4,1,2,1,1
2002,"X710",2,0,0,1,0,0,2,0,1,2,2
2002,"X720",1,0,0,9,19,0,24,22,29,13,11
2002,"X720",2,0,4,2,4,0,4,3,5,2,0
2002,"X730",1,0,1,2,4,0,4,4,7,0,0
2002,"X730",2,0,0,0,0,0,1,0,0,0,0
2002,"X740",1,0,4,35,64,0,88,67,78,37,35
2002,"X740",2,0,1,11,9,0,16,15,10,5,0
2002,"X750",1,0,0,0,0,0,0,0,1,0,0
2002,"X760",1,0,0,2,1,1,3,2,3,1,3
2002,"X760",2,0,1,0,0,0,2,9,6,2,6
2002,"X770",1,0,0,0,0,0,0,1,0,0,0
2002,"X770",2,0,0,0,1,0,0,0,0,0,0
2002,"X780",1,0,0,1,1,0,11,13,13,6,7
2002,"X780",2,0,0,0,1,0,1,1,4,2,3
2002,"X790",1,0,0,3,5,0,7,3,6,3,2
2002,"X790",2,0,0,1,0,0,2,5,1,1,0
2002,"X800",1,0,0,5,4,0,12,7,7,2,5
2002,"X800",2,0,0,0,4,0,4,6,7,1,1
2002,"X800",9,0,0,0,0,0,1,0,0,0,0
2002,"X810",2,0,0,0,0,0,0,0,1,0,0
2002,"X830",2,0,0,1,0,0,0,0,1,0,1
2002,"X840",1,0,1,5,6,0,11,12,17,8,5
2002,"X840",2,0,0,0,2,0,7,8,12,5,0
2003,"X600",1,0,0,0,0,0,0,3,0,1,0
2003,"X610",1,0,0,1,0,0,1,5,2,0,2
2003,"X610",2,0,0,0,2,0,12,5,4,1,0
2003,"X620",1,0,0,1,1,0,1,0,0,0,0
2003,"X620",2,0,0,0,0,0,0,0,1,0,0
2003,"X640",1,0,0,1,6,0,6,6,11,2,0
2003,"X640",2,0,0,6,0,0,8,12,3,0,0
2003,"X650",1,0,0,0,0,0,1,1,2,0,0
2003,"X650",2,0,0,0,2,0,2,0,1,0,0
2003,"X660",1,0,0,0,0,0,1,0,3,0,0
2003,"X670",1,0,0,0,1,0,0,0,2,0,0
2003,"X670",2,0,0,0,0,0,1,0,0,0,0
2003,"X680",1,1,0,3,16,0,33,35,34,12,7
2003,"X680",2,0,0,11,16,0,19,13,19,1,3
2003,"X690",1,0,0,1,11,0,14,14,21,5,5
2003,"X690",2,0,3,8,7,0,4,5,10,0,0
2003,"X700",1,4,30,150,251,4,461,469,476,204,157
2003,"X700",2,0,16,58,48,0,88,95,96,40,41
2003,"X710",1,0,0,0,0,0,2,1,0,1,0
2003,"X710",2,0,0,0,0,0,0,2,1,2,0
2003,"X720",1,0,2,8,16,0,35,29,24,9,10
2003,"X720",2,0,2,6,4,0,5,3,5,1,2
2003,"X730",1,0,0,2,2,0,9,9,9,1,3
2003,"X730",2,0,0,0,0,0,0,0,0,0,1
2003,"X740",1,0,5,30,44,0,74,67,79,32,35
2003,"X740",2,0,2,7,6,0,11,16,12,4,2
2003,"X750",1,0,0,0,0,0,2,0,0,0,0
2003,"X760",1,0,0,1,0,0,2,3,1,0,2
2003,"X760",2,0,0,2,1,0,0,6,1,3,0
2003,"X770",1,0,0,0,0,0,0,0,1,0,0
2003,"X780",1,0,0,1,2,0,11,15,9,1,3
2003,"X780",2,0,0,0,0,0,2,2,3,3,1
2003,"X790",1,0,0,2,4,0,9,6,6,1,6
2003,"X790",2,0,0,0,5,0,1,2,2,1,1
2003,"X800",1,0,0,8,7,0,5,6,5,3,3
2003,"X800",2,0,1,2,7,0,8,6,2,1,3
2003,"X830",1,0,0,0,0,0,0,2,0,0,0
2003,"X830",2,0,0,0,0,0,0,0,1,0,0
2003,"X840",1,0,1,2,3,0,14,11,16,3,4
2003,"X840",2,0,0,5,5,0,6,4,9,1,8
2004,"X600",2,0,1,0,0,0,0,0,0,0,0
2004,"X610",1,0,1,1,0,0,5,6,3,1,0
2004,"X610",2,0,1,1,3,0,14,6,6,1,0
2004,"X620",1,0,0,0,0,0,0,1,0,0,0
2004,"X630",2,0,0,0,0,0,1,0,0,0,0
2004,"X640",1,0,0,0,3,0,7,11,8,1,1
2004,"X640",2,0,1,3,3,0,4,7,1,3,1
2004,"X650",2,0,0,0,0,0,1,1,1,0,0
2004,"X660",1,0,0,0,1,0,0,0,0,0,0
2004,"X660",2,0,1,1,0,0,0,0,0,0,1
2004,"X670",1,0,0,0,1,0,2,1,1,0,0
2004,"X670",2,0,0,1,0,0,0,1,1,0,0
2004,"X680",1,0,0,5,18,1,25,32,34,11,4
2004,"X680",2,0,3,15,16,0,14,18,13,4,1
2004,"X690",1,0,0,3,7,0,7,16,9,7,2
2004,"X690",2,0,1,5,5,0,3,4,8,2,1
2004,"X700",1,3,16,166,292,3,541,473,508,194,173
2004,"X700",2,0,15,50,53,0,102,87,108,40,47
2004,"X710",1,0,0,0,1,0,1,1,1,1,1
2004,"X710",2,0,0,0,0,0,0,0,0,1,1
2004,"X720",1,0,1,10,19,0,29,24,32,12,10
2004,"X720",2,0,2,1,4,0,5,8,2,0,1
2004,"X730",1,0,0,2,5,0,6,6,5,2,2
2004,"X730",2,0,0,0,0,0,1,0,1,0,0
2004,"X740",1,0,3,30,40,0,83,59,86,34,52
2004,"X740",2,0,0,12,11,0,15,6,8,4,2
2004,"X750",1,0,0,0,0,0,0,0,1,0,0
2004,"X760",1,0,0,0,2,0,5,3,7,1,3
2004,"X760",2,0,0,2,1,0,2,6,7,4,2
2004,"X770",1,0,0,0,0,0,0,1,0,0,0
2004,"X770",2,0,0,0,0,0,0,1,0,0,0
2004,"X780",1,0,0,1,2,0,10,6,14,4,11
2004,"X780",2,0,0,0,0,0,1,1,10,1,2
2004,"X790",1,0,2,1,3,0,4,1,7,3,3
2004,"X790",2,0,0,1,1,0,1,0,1,1,2
2004,"X800",1,0,0,7,12,0,13,8,6,4,7
2004,"X800",2,0,1,3,0,0,3,4,14,3,6
2004,"X810",1,0,0,0,0,0,0,0,1,0,0
2004,"X820",1,0,0,0,0,0,1,0,0,0,0
2004,"X830",1,0,0,0,1,0,1,3,2,0,0
2004,"X840",1,0,0,2,9,0,15,11,18,6,4
2004,"X840",2,0,0,5,3,0,2,4,10,1,3
1996,"X600",2,0,0,0,0,0,0,1,0,0,0
1996,"X610",1,0,0,0,0,0,0,1,0,0,0
1996,"X610",2,0,0,0,1,0,1,0,1,0,0
1996,"X640",1,0,0,0,1,1,1,2,0,0,1
1996,"X640",2,0,0,1,2,0,0,2,0,0,0
1996,"X650",2,0,0,0,0,0,0,1,0,0,0
1996,"X680",1,0,0,1,2,0,5,3,3,0,0
1996,"X680",2,0,0,2,0,0,1,3,0,0,1
1996,"X690",1,0,0,2,2,0,5,2,3,1,0
1996,"X690",2,0,0,0,1,0,1,0,0,0,0
1996,"X700",1,1,4,22,36,1,55,54,39,18,12
1996,"X700",2,0,1,12,10,0,10,5,17,3,2
1996,"X720",1,0,0,1,4,0,8,6,2,1,1
